Time,Open,High,Low,Close,Volume,Count,Wap
20170421,137.54,137.54,136.72,137.16,74002.36,29504,137.171
20170424,138.8,139.56,138.5,138.91,76710.57,29141,138.989
20170425,139.12,140.88,139.12,140.25,69697.4,25022,140.405
20170426,140.21,141.81,139.98,141.13,101513.57,26929,141.122
20170427,141.09,141.8,140.49,141.23,65823.06,15812,141.017
20170428,141.2,141.32,138.71,139.05,71961.62,24038,139.615
20170501,139.37,140.28,138.78,140.01,46845.62,18850,139.614
20170502,139.95,140.34,138.69,138.89,45040.92,17300,139.199
20170503,138.68,138.82,137.7,138.29,59758.46,23081,138.187
20170504,138.29,138.94,137.12,138.2,71591.96,19738,137.993
20170505,138.17,139.05,137.53,138.99,44162.12,17164,138.407
20170508,138.68,138.98,137.76,138.43,40494.15,14848,138.322
20170509,138.49,138.83,137.79,137.91,53118.73,20462,138.381
20170510,137.66,139.32,137.66,139.14,47671.72,19097,138.884
20170511,138.88,138.97,136.99,138.09,58504.87,25482,138.015
20170512,137.61,137.99,137.16,137.61,49016.95,20178,137.536
20170515,137.96,139.25,137.72,138.58,128258.7,20431,138.628
20170516,138.46,139.03,137.62,137.9,40217.79,15942,138.376
20170517,137.4,137.57,134.68,135.04,114590.35,45415,135.717
20170518,134.76,135.9,133.89,135.34,86062.31,39998,135.208
20170519,135.32,136.75,135.32,135.87,83592.07,28731,136.142
20170522,136,137.2,135.68,136.63,40539.38,18090,136.715
20170523,137.17,137.69,136.35,137.43,36832.91,16446,137.199
20170524,137.46,138.03,136.84,137.43,47517.84,21713,137.465
20170525,138,138.61,137.2,137.47,48728.6,16694,137.809
20170526,137.17,137.78,136.78,137.42,42160.14,17772,137.355
20170530,137.34,137.44,136.22,136.58,67128.29,19870,136.597
20170531,136.74,137.06,134.64,136.55,75760.43,28646,135.804
20170601,136.37,139.2,136.21,138.97,109042.79,31239,138.144
20170602,139.35,141.02,139.01,140.04,92094.51,31210,140.038
20170605,139.86,140.11,138.67,138.74,44915.8,17386,139.431
20170606,138.43,139.65,137.78,139.02,54574.13,22620,138.716
20170607,138.91,139.52,138.49,138.93,43889.23,18607,139.022
20170608,139,141.45,138.75,140.51,70526.94,27441,140.61
20170609,141.35,142.9,140.71,141.79,104951.92,44137,141.882
20170612,141.37,142.14,140.9,141.54,72388.12,26897,141.423
20170613,141.9,142.31,141.47,142.15,43251.28,17150,141.879
20170614,142.2,142.4,140.45,140.68,65410.58,26759,141.175
20170615,140.41,140.98,139.55,140.68,62524.56,21988,140.302
20170616,140.86,140.87,139.28,140.54,58486.08,22226,139.86
20170619,140.56,141.57,140.51,141.25,52834.33,18672,141.053
20170620,141.23,141.23,139.7,139.88,47007.41,19699,140.141
20170621,139.35,140.8,139.23,139.37,44555.9,20231,139.771
20170622,139,140.39,138.9,140,47175.45,17370,139.838
20170623,140.28,141.08,139.55,140.94,51583.48,18043,140.626
20170626,141.34,141.53,140.21,141.09,48026.67,18612,141.059
20170627,140.72,141.62,139.75,139.87,48860.21,21594,140.54
20170628,139.8,142.56,139.8,142.49,62379.45,23166,141.689
20170629,142.37,142.55,139.66,141.32,79247.15,31955,141.09
20170630,141.17,141.67,140.73,140.78,52218.45,19112,141.167
20170703,141.25,142.49,140.24,141.98,33280.02,14013,141.989
20170705,141.22,141.84,140.7,141.5,36543.83,17069,141.318
20170706,140.71,140.71,138.83,139.19,74863.7,21916,139.498
20170707,139.1,140.67,139,140.15,52616.11,20316,140.104
20170710,140.49,140.89,139.38,139.81,40843.7,17112,140.032
20170711,139.58,140.37,138.98,140.36,33224.21,14507,139.959
20170712,140.49,142.22,140.49,141.24,50287.6,20624,141.558
20170713,141.4,141.57,140.38,141.55,38840.89,14676,141.008
20170714,141.43,142.29,141.07,141.74,43886.9,16951,141.811
20170717,141.52,142.46,141.26,142.16,31856.22,12556,142.059
20170718,142.01,142.05,141.04,141.76,39703.65,14181,141.558
